Number of Bending,ZTO,Ag,Cu,Storage time,Square resistance
130,40,12,0,14,9.1292
140,40,12,0,14,9.1706
150,40,12,0,14,9.212
160,40,12,0,14,9.2534
170,40,12,0,14,9.2948
180,40,12,0,14,9.3362
190,40,12,0,14,9.3776
200,40,12,0,14,9.419
210,40,12,0,14,9.4959
220,40,12,0,14,9.5728
230,40,12,0,14,9.6497
240,40,12,0,14,9.7266
250,40,12,0,14,9.8035
260,40,12,0,14,9.8804
270,40,12,0,14,9.9573
280,40,12,0,14,10.0342
290,40,12,0,14,10.1111
300,40,12,0,14,10.188
310,40,12,0,14,10.2417
320,40,12,0,14,10.2954
330,40,12,0,14,10.3491
340,40,12,0,14,10.4028
350,40,12,0,14,10.4565
360,40,12,0,14,10.5102
370,40,12,0,14,10.5639
380,40,12,0,14,10.6176
390,40,12,0,14,10.6713
400,40,12,0,14,10.725
410,40,12,0,14,10.7528
420,40,12,0,14,10.7806
430,40,12,0,14,10.8084
440,40,12,0,14,10.8362
450,40,12,0,14,10.864
460,40,12,0,14,10.8918
470,40,12,0,14,10.9196
480,40,12,0,14,10.9474
490,40,12,0,14,10.9752
500,40,12,0,14,11.003
510,40,12,0,14,11.1219
520,40,12,0,14,11.2408
530,40,12,0,14,11.3597
540,40,12,0,14,11.4786
550,40,12,0,14,11.5975
560,40,12,0,14,11.7164
570,40,12,0,14,11.8353
580,40,12,0,14,11.9542
590,40,12,0,14,12.0731
600,40,12,0,14,12.192
0,30,12,0,14,8.684
10,30,12,0,14,8.6877
20,30,12,0,14,8.6914
30,30,12,0,14,8.6951
40,30,12,0,14,8.6988
50,30,12,0,14,8.7025
60,30,12,0,14,8.7062
70,30,12,0,14,8.7099
80,30,12,0,14,8.7136
90,30,12,0,14,8.7173
100,30,12,0,14,8.721
110,30,12,0,14,8.752
120,30,12,0,14,8.783
130,30,12,0,14,8.814
140,30,12,0,14,8.845
150,30,12,0,14,8.876
160,30,12,0,14,8.907
170,30,12,0,14,8.938
180,30,12,0,14,8.969
190,30,12,0,14,9
200,30,12,0,14,9.031
210,30,12,0,14,9.053
220,30,12,0,14,9.075
230,30,12,0,14,9.097
240,30,12,0,14,9.119
250,30,12,0,14,9.141
260,30,12,0,14,9.163
270,30,12,0,14,9.185
280,30,12,0,14,9.207
290,30,12,0,14,9.229
300,30,12,0,14,9.251
310,30,12,0,14,9.3073
320,30,12,0,14,9.3636
330,30,12,0,14,9.4199
340,30,12,0,14,9.4762
350,30,12,0,14,9.5325
360,30,12,0,14,9.5888
370,30,12,0,14,9.6451
380,30,12,0,14,9.7014
390,30,12,0,14,9.7577
400,30,12,0,14,9.814
410,30,12,0,14,9.8846
420,30,12,0,14,9.9552
430,30,12,0,14,10.0258
440,30,12,0,14,10.0964
450,30,12,0,14,10.167
460,30,12,0,14,10.2376
470,30,12,0,14,10.3082
480,30,12,0,14,10.3788
490,30,12,0,14,10.4494
500,30,12,0,14,10.52
510,30,12,0,14,10.8506
520,30,12,0,14,11.1812
530,30,12,0,14,11.5118
